key,substructure,enrichment_strong,odds_ratio,fisher_pvalue_bh,neg_log10_fisher_bh,strong_specificity,support,count_strong,count_weak,count_inactive,dominant_class,category,sig_fdr,pA_effect,pA_sig,pA_spec,S_stat,disc2,share2,freq2,freq0,freq1,S_shap,_merge,evidence,consensus,label
cc(-c)cc(C)n,c-c(c)cc(C)n,5.850369725967812,50.90623276337562,4.5941275468061014e-20,12.0,0.9090909090909092,0.0111524163568773,30.0,3.0,0.0,2.0,Second_StrongWeak_NoInactive,True,0.988791032826261,0.9875900720576462,0.988791032826261,0.9883907125700562,7.117861,1.0,31.0,0.0,0.0,1.0,both,BOTH,0.9941784108348241,c-c(c)cc(C)n
cc([nH])C(=O)O,cc([nH])C(=O)O,5.148325358851674,23.672712550607287,5.7552533018685856e-27,12.0,0.8,0.0178438661710037,48.0,6.0,6.0,2.0,Medium_StrongEnriched,True,0.9743795036028823,0.9875900720576462,0.9743795036028823,0.9787830264211369,6.889599,0.9577,55.0,5.0,0.0,0.9991319444444444,both,BOTH,0.988905146299365,cc([nH])C(=O)O
cNC(=O)CN,cNC(=O)CN,5.056390977443609,19.78707925113978,5.455708601623032e-12,11.263148834115285,0.7857142857142857,0.00817843866171,22.0,3.0,3.0,2.0,Medium_StrongEnriched,True,0.9719775820656525,0.9703763010408326,0.9719775820656525,0.9714438217240459,1.928181,0.9992,13.0,0.0,1.0,0.9921875,both,BOTH,0.9817608756040479,cNC(=O)CN
cn(c)S(N)(=O)=O,cn(c)S(N)(=O)=O,6.435406698564593,94.11084043848965,4.297166474535827e-06,5.366817821188841,1.0,0.0029739776951672,8.0,0.0,0.0,2.0,Highest_StrongOnly,True,0.9951961569255404,0.9211369095276221,0.9951961569255404,0.9705097411262343,1.15487,1.0,8.0,0.0,0.0,0.9874131944444444,both,BOTH,0.9789249837065688,cn(c)S(N)(=O)=O
ccc(C)c(c)[nH],ccc(C)c(c)[nH],5.940375414059624,56.40278833967047,2.790701325272553e-16,12.0,0.9230769230769232,0.0089219330855018,24.0,2.0,0.0,2.0,Second_StrongWeak_NoInactive,True,0.9895916733386709,0.9875900720576462,0.9895916733386709,0.9889244729116626,0.320687,1.0,3.0,0.0,0.0,0.9657118055555556,both,BOTH,0.9772492201550216,ccc(C)c(c)[nH]
cc(c)S(=O)(=O)Nc,cNS(=O)(=O)c(c)c,4.4031730042810375,13.6233681916201,1.4021760862396689e-29,12.0,0.6842105263157895,0.0241635687732342,65.0,18.0,12.0,2.0,Medium_StrongEnriched,True,0.9539631705364291,0.9875900720576462,0.9539631705364291,0.9651721377101682,1.0838,0.967,14.0,3.0,5.0,0.9869791666666666,both,BOTH,0.9760147499741317,cNS(=O)(=O)c(c)c
cnc(c(c)N)c(c)c,cnc(c(c)N)c(c)c,4.144838212634823,10.595941692387616,4.600370027045758e-16,12.0,0.6440677966101694,0.0141263940520446,38.0,11.0,10.0,2.0,Medium_StrongEnriched,True,0.9399519615692554,0.9875900720576462,0.9399519615692554,0.9558313317320524,1.491159,0.8629,24.0,10.0,4.0,0.9904513888888888,both,BOTH,0.9729873946036133,cnc(c(c)N)c(c)c
cc(c)NS(c)(=O)=O,cS(=O)(=O)Nc(c)c,3.911717797166713,8.932022029897718,4.445455439198404e-12,11.352083738721152,0.6078431372549019,0.0115241635687732,31.0,8.0,12.0,2.0,Medium_StrongEnriched,True,0.9351481184947958,0.9711769415532426,0.9351481184947958,0.9471577261809448,3.429328,1.0,41.0,0.0,0.0,0.9952256944444444,both,BOTH,0.9708942814677877,cS(=O)(=O)Nc(c)c
ccc(c(c)-c)S(N)(=O)=O,c-c(c)c(cc)S(N)(=O)=O,5.148325358851674,18.805602923264317,9.886967599762812e-05,4.004936889052848,0.8,0.0029739776951672,8.0,2.0,0.0,2.0,Second_StrongWeak_NoInactive,True,0.9743795036028823,0.8831064851881505,0.9743795036028823,0.943955164131305,1.406196,0.9991,7.0,1.0,0.0,0.9900173611111112,both,BOTH,0.9667119532727835,c-c(c)c(cc)S(N)(=O)=O
CSS,CSS,5.516062884483937,23.862222222222226,0.0006260357105723,3.2034008928883155,0.8571428571428571,0.0022304832713754,6.0,1.0,0.0,2.0,Second_StrongWeak_NoInactive,True,0.9819855884707767,0.8574859887910328,0.9819855884707767,0.9404857219108621,1.660386,0.9458,6.0,0.0,1.0,0.9913194444444444,both,BOTH,0.9655681142998707,CSS
